ID;default payment next month;PAY_AMT6;PAY_AMT5;PAY_AMT4;PAY_AMT3;PAY_AMT2;PAY_AMT1;BILL_AMT6;BILL_AMT5;BILL_AMT4;BILL_AMT3;BILL_AMT2;BILL_AMT1;PAY_6;PAY_5;PAY_4;PAY_3;PAY_2;PAY_0;AGE;MARRIAGE;EDUCATION;SEX;LIMIT_BAL
1;1;0;0;0;0;689;0;0;0;0;689;3102;3913;-2;-2;-1;-1;2;2;24;1;2;2;20000
2;1;2000;0;1000;1000;1000;0;3261;3455;3272;2682;1725;2682;2;0;0;0;2;-1;26;2;2;2;120000
3;0;5000;1000;1000;1000;1500;1518;15549;14948;14331;13559;14027;29239;0;0;0;0;0;0;34;2;2;2;90000
4;0;1000;1069;1100;1200;2019;2000;29547;28959;28314;49291;48233;46990;0;0;0;0;0;0;37;1;2;2;50000
5;0;679;689;9000;10000;36681;2000;19131;19146;20940;35835;5670;8617;0;0;0;-1;0;-1;57;1;2;1;50000
6;0;800;1000;1000;657;1815;2500;20024;19619;19394;57608;57069;64400;0;0;0;0;0;0;37;2;1;1;50000
7;0;13770;13750;20239;38000;40000;55000;473944;483003;542653;445007;412023;367965;0;0;0;0;0;0;29;2;1;1;500000
8;0;1542;1687;581;0;601;380;567;-159;221;601;380;11876;-1;0;0;-1;-1;0;23;2;2;2;100000
9;0;1000;1000;1000;432;0;3329;3719;11793;12211;12108;14096;11285;0;0;0;2;0;0;28;1;3;2;140000
10;0;0;1122;13007;0;0;0;13912;13007;0;0;0;0;-1;-1;-2;-2;-2;-2;35;2;3;1;20000
11;0;66;3738;300;50;12;2306;3731;1828;2513;5535;9787;11073;-1;0;0;2;0;0;34;2;3;2;200000
12;0;3640;0;22301;8583;9966;21818;13668;22287;8517;9966;21670;12261;2;-1;-1;-1;-1;-1;51;2;1;2;260000
13;0;0;2870;6500;6500;6500;1000;2870;6500;6500;6500;6500;12137;-1;-1;-1;-1;0;-1;41;2;2;2;630000
14;1;0;1500;3000;3000;0;3200;36894;36137;66782;65701;67369;65802;2;0;0;2;2;1;30;2;2;1;70000
15;0;3000;3000;3000;3000;3000;3000;55512;56875;59696;63561;67060;70887;0;0;0;0;0;0;29;2;1;1;250000
16;0;1100;1300;1200;1100;1500;0;30211;29531;28771;28116;29173;50614;0;0;0;0;2;1;23;3;3;2;50000
17;1;0;1650;0;1500;0;3200;19104;17905;18338;17428;18010;15376;2;2;2;2;0;0;24;2;1;1;20000
18;0;50000;195599;20000;75940;10000;10358;195599;5856;70074;194663;246536;253286;-1;-1;-1;0;0;0;49;1;1;1;320000
19;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;-2;-2;1;49;1;1;2;360000
20;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;-2;-2;1;29;2;1;2;180000
21;0;33764;930;2000;1000;1537;3000;930;11802;20616;24489;27688;38358;-1;0;0;0;0;0;39;2;3;2;130000
22;1;0;316;632;0;316;316;316;632;0;316;316;316;-1;-1;-1;-1;-1;-1;39;1;2;2;120000
23;1;1820;0;3601;0;3582;2007;46012;46905;44006;45020;42445;41087;2;2;2;0;0;2;26;2;2;2;70000
24;1;1128;0;0;560;1473;19428;0;0;560;1473;19420;5512;-2;-2;-2;-2;-2;-2;40;1;1;2;450000
25;0;2000;2045;1200;5398;0;5757;8292;6360;5398;0;7070;4744;0;0;-1;0;0;0;23;2;1;1;90000
26;0;997;1062;1432;1001;1426;1973;30046;29829;28967;36023;41810;47620;0;0;0;0;0;0;23;2;3;1;50000
27;1;1000;0;500;0;1000;0;-189;127;-57;259;-425;-109;-1;-1;-1;-1;-2;1;27;2;1;1;60000
